GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hertzbeat-common,org.dromara.hertzbeat.common.entity.manager,JsonOptionListAttributeConverter.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.manager,NoticeTemplate.NoticeTemplateBuilder,90,0,0,0,1,0,12,0,12,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.manager,TagMonitorBind,257,0,46,0,9,0,40,0,17,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.manager,JsonTagListAttributeConverter.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.manager,Collector.CollectorBuilder,90,0,0,0,1,0,12,0,12,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.manager,JsonTagListAttributeConverter.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.manager,JsonOptionListAttributeConverter,16,0,0,0,4,0,3,0,3,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.manager,NoticeRule,759,0,134,0,23,0,108,0,41,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.manager,JsonByteListAttributeConverter,16,0,0,0,4,0,3,0,3,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.manager,NoticeTemplate,422,0,74,0,14,0,62,0,25,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.manager,NoticeReceiver,1160,0,214,0,30,0,166,0,59,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.manager,ParamDefine.ParamDefineBuilder,171,0,0,0,1,0,21,0,21,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.manager,Monitor,584,0,104,0,17,0,85,0,33,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.manager,CollectorMonitorBind,343,0,62,0,11,0,52,0,21,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.manager,Param,326,0,56,0,11,0,49,0,21,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.manager,NoticeReceiver.NoticeReceiverBuilder,243,0,0,0,1,0,29,0,29,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.manager,GeneralConfig,300,0,54,0,10,0,46,0,19,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.manager,ParamDefine.Option,115,0,20,0,5,0,19,0,9,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.manager,TagItem,124,0,22,0,5,0,21,0,10,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.manager,GeneralConfig.GeneralConfigBuilder,63,0,0,0,1,0,9,0,9,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.manager,ParamDefine,802,0,142,0,24,0,114,0,43,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.manager,JsonByteListAttributeConverter.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.manager,Tag.TagBuilder,90,0,0,0,1,0,12,0,12,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.manager,JsonTagListAttributeConverter,50,0,2,0,10,0,5,0,4,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.manager,NoticeRule.NoticeRuleBuilder,162,0,0,0,1,0,20,0,20,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.manager,Collector,412,0,72,0,13,0,61,0,25,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.manager,Param.ParamBuilder,72,0,0,0,1,0,10,0,10,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.manager,Tag,179,0,14,0,22,0,31,0,24,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.manager,TagMonitorBind.TagMonitorBindBuilder,54,0,0,0,1,0,8,0,8,0
